GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Model,com.cp.elems,SudokuColumn,60,3,8,0,14,1,7,1,3,1
Model,com.cp.elems,SudokuField,41,37,6,6,10,13,7,6,3,4
Model,com.cp.elems,SudokuBoard,113,233,15,19,22,45,12,17,4,8
Model,com.cp.elems,SudokuBox,60,3,8,0,14,1,7,1,3,1
Model,com.cp.elems,SudokuRow,60,3,8,0,14,1,7,1,3,1
Model,com.cp.elems,SudokuLine,65,106,8,4,13,18,7,8,3,6
Model,com.cp,App,20,0,0,0,6,0,2,0,2,0
Model,com.cp,Cell,8,15,0,0,4,6,2,3,2,3
Model,com.cp.dao,SudokuBoardDaoFactory,5,5,0,0,2,1,2,1,2,1
Model,com.cp.dao,FileSudokuBoardDao,8,47,0,0,5,11,0,3,0,3
Model,com.cp.dao,SudokuBoardDaoFactory.SingletonHolder,5,0,0,0,1,0,1,0,1,0
Model,com.cp.solver,BacktrackingSudokuSolver,6,317,1,45,3,75,2,30,1,8
